Year,kms Driven,Fuel Type,Suspension,Price,Car Model
2007,40000,Petrol,Manual,310000.0,Honda Civic 1.8
2005,111279,Petrol,Manual,173000.0,Honda City 1.5
2017,25000,Petrol,Manual,950000.0,Honda City i
2016,46564,Petrol,Manual,550000.0,Honda City i
2009,92034,Petrol,Automatic,200000.0,Honda Civic 1.8
2013,29126,Petrol,Manual,425000.0,Honda City E
2014,45882,Petrol,Automatic,600000.0,Honda City i
2013,23000,Petrol,Automatic,484999.99999999994,Honda City 1.5
2014,70262,Diesel,Manual,550000.0,Honda City i
2004,109381,Petrol,Manual,150000.0,Honda City 1.5
2016,36858,Petrol,Automatic,675000.0,Honda Amaze V
2016,32253,Petrol,Automatic,509999.99999999994,Honda City i
2017,75185,Petrol,Manual,800000.0,Honda City i
2016,56471,Petrol,Manual,600000.0,Honda BR-V i-VTEC
